comentario|😂😢😱😡👍❤
lo único bueno de la serie, es Brandoni!|👍
Hola podrías acer un te lo resumo de la película de Venom|🙏
resume la saga de leprechaun (duende maldito)|🙏
URGENTE.... Jajaja. Resumí sledge Hammer y lo recomparto y lo rereretuiteo|🙏
Estimada Voz Rasposa, estimado comité de sugerencias: Estaría bueno un te lo resumo de Con Air, Face-off y The Rock. Saludos.P.D. Descansa, Voz Rasposa, te escuchas cansada/triste.|🙏
Acabo de ver ellos viven de Carpenter Esta en youtube se merece un resumen|🙏
GRANDE LA TIA !|😂
porfa resume destino final o stitches|🙏
Resumí Ant-Man 2 por favor, like para que lo resuma|🙏
Que pasa con el resumen de JOHN WICK???!!!|🙏
"Hagan el "" te lo resumo asi nomas"" de v de vendetta😁😁"|🙏
Ideas para resumir:BleachKonosubaFlash temporada 1,2,3,4Naruto Shippuden (Saga de Pain)Naruto Shippuden (Saga de 4 guerra mundial ninja)|🙏
Spartacus..|🙏
Muy mocho el resumen.|😡
*Se le escapa un tiro* AHI LO TENÉS AL PELOTUDO. Escupí todo el café.|😂
KAJAJAJAJAJA LA MUSICABDEBLOS ANDROIDES DE DBZ|😂
Resumi dexter otra vez plss|🙏
ta bueno el resumen, y al que no le guste, que se jodan!|👍
puedes resumir espiritu de lucha|🙏
Amo que para todos Diego Masaglio sea corcho de chiquititas 😂😂😂😂|❤
Bien ahi, Jorge. Ya no solo nos salvas de las novelas de Cris Morena, tome mi like buen hombre|👍
"Por q tantas quejas? Los videos estan buenosTambien me hubiese gustado q por ser el video ""200"" sea de alguna serie de culto y mas reconocido, como fue el 100 con Los Simuladores, o alguna peli clasica, pero buenoHagan el resumen de la saga de American Pie (la historia de Jim y sus amigos o sea la 1, la 2, la boda y el reencuentro, no todas las otras peliculas satelite q sacaron q son todas malisimas, ej. la casa beta, el libro del amor, band camp, etc)Y un multiverso nuevo podria ser el de Brad Pitt, ahi tenes varias peliculas (Sr. y Sra Smith, el club de la pelea, entrevista con el vampiro, joe black, benjamin button, bastardos sin gloria)"|🙏
Tremendo resumen! Y al que no le gusta que se joda...|❤
grande jorge, me dio ganas de ver la serie|❤
y ahora creo q viene la gran los walking dead que iba temporada por temporada y en la 8 empezo a ir por capitulos por q obviamente resumir entera una sola temporada costaba un huevo jajaja|👍
Resumí el ciempies humano|🙏
Y para cuando el resumen de Buffy la Cazavampiros|🙏
Genial. Falta uno de montaña rusa jaja ya me lo imagino. Saludos, sos genial|🙏
Me encantooo|❤
"RESUME “TERROR BAJO LA TIERRA LA SAGA 1 ALA 5"""|🙏
Que sigue #elmarginal ?|🙏
La saga de Halloween|🙏
Para cuando un te lo resumo de... OKUPAS?!|🙏
Feinman extraterrestre??? pense que era extra pelotudo no mas jajaja|😂
2;13 abajo en la izquierda feimman extraterrestre?|😱
Este canal es el mejor me ase reir mucho mas videos con el machete disiendo q ¡¡CHINGAWHAT!!|❤
Que Vincent D'Onofrio??? Ese es Guido Kaczka!|😂
Que pelicula mas mierda, me esperaba mas.|😡
Está Angie y la Faraona (entre otros) en el minuto 2:13|👍
El papá de will Smith, es Luke Cage... vieron?|😱
PARA BAILAR LA BAMBA!!! explote de risa|❤
Cuál es la canción de fondo 11:40?|👍
Excelente!! Muy buen resumen! No había visto la última :D|❤
como veo que todos piden algo, podrías resumir las de Jason Bourne. Genial el canal|🙏
La tercer película me dio mucha tristeza ese final :(|😢
Edu feinman y la faraona introducidos sutilmente xD|😂
Cómo se llama la canción cuando Will le borra la memoria a Tommy|👍
La tía Marta jajaja|😂
Para cuando Twin Peaks?|🙏
Madre de Dios que chinwhat|😂
"Resume ""Plan de Escape 2"" con Stallone, tiene mucho material para burlarse de las ""soluciones pendejas"" ... juro que vi la película y lo único que pensaba era como se vería esa película en Te Lo Resumo con un comentario mordaz y sarcástico en cada escena tonta 😂"|😂
casi me meo de risa cuando lo veo a machete diciendo que chingawhatttt|😱
Por que will grita tanto cuando canta? Xd|😱
Se siente raro cantar Ultraviolento cuando tus cuates se pelean :v|😱
Asi que thanos trabaja para el gobierno de USA|😱
La enfermera dem hell kitchen 😂😂|😂
para vailar labanba para vailar la banba se nesesita una poca de grasia|😂
Resumen Liveman....|🙏
Como se llama la cancion del minuto 0:20|👍
No dejes de usar nunca el clip de Danny Trejo|🙏
Cuando vas a resumir la saga de “gremblins” o la de los marcianitos esos que son re violentos, pero no me acuerdo cómo se llaman jajajajajaja|🙏
no me canso de estas películas, digan lo que quieran|😡
Che Jorge resumite la PANTERA UN CLÁSICO DE ANTES|🙏
Saludos te lo resumo así no mas la saga de Halloween Michael Myers gracias|🙏
Alto pajero will smith🤣🤣🤣|😡
Agendas electrónicas de Genios AJAJAJAJ que viejo que estoy|❤
MADRE DE DIOS CHINGAWHAAAT !!!|😂
Infancia bella infancia|❤
falto merakio 2:12|🙏
Feinmann Extraterrestre? jajajaajaja|❤
"2:12 ""Muchos de los humanos que conocemos son extraterrestres infiltrados""Je t'adore Jorge."|😂
Resumite así nomás la saga del Hombre Araña, besitos, besitos, chau chau|🙏
S p a r t a c u s|🙏
Me morí y renací en la parte los extraterrestres inflitrados|😂
De los pinguinos de madagascar🌟|🙏
por favor, resumi a El Principe del Rap|🙏
Jajaa ya se me pego lo de 1 2 ultraviolento uno 2 ultra violentoo y ahora qur pasa raaaaaa|😂
Edgar = pasame la repe...|😂
Podes hacer un video de la serie de Highlander EL INMORTAL?|🙏
2:13 aparece feimann abajo a la izquierda. no lo puedo creer WTF|😱
Sr. Voz Rasposa, 11:37 no ve universos paralelos, realmente ve lineas de tiempo paralelas en universos alternativos, buen video|👍
Me acabo de dar cuenta que tiene un millón de subs PD:te sigo desde los cien mil|😱
RESUMÍ EL MARGINAL FORRO|😡
¿Donde está el amor heterosexual en esta película?|🙏
joder Willy smit eso es tener pasión compadre!! que bien que le salio el español!! XD :V|😡
RESUMI LA PELICULA DE EL QUINTO ELEMENTO|🙏
2:13 Jajaja.|😡
Chinga Whaaaat :v|❤
HEY TE LO RUSUMO PORQUE TQ ENOGAS 😞😞😞😞😞😞😞😞😞😞|😢
6:39 Alto pajero Will Smith JAJJAJJAJA|😢
Me encantó, sé que es broma, no me lo tomare en serio.Me encanto|❤
los spoiler que a la gente le gusta|👍
"Como me gusta la expresión ""así como lo vaya necesitando la trama"" XD*Sube los resúmenes de las temporadas de The Blacklist (Gran serie)*"|👍
14:20 ese Stephen King da remiedo|😱
Yo solo vine a escuchar la intro de ultraviolento|👍
PENSE QUE DE INTRO PONDRIA TOMMY LEE JONES COMO EL AGENTE BLANCO WILL SMITH COMO EL AGENTE NEGRO O ALGO ASI|😱
Un resumen de Hawaii 5-0|🙏
Yo sabía que Tommy Wisseau no era de este planeta|😱
Resumete Riverdale temporada 1, esta en netflix|🙏
Gorge HDP te Vi  todos tus vídeos le di me gusta ah todos tus vídeos lo compartí lo comenté te pedí hace  6 meses q por favor te resalte la TRLILOGIA DE BLADE CAZADOR DE VAMPIROS . HACELO GORGE  por favor es alto peliculón . Saludos George suerte|😡
dos cosas... 1. el que necesitó ver esto por no haber visto MIB merece morir.2. al que no le gustó que la fume.|😡
Spoiler: lo logran😂|😂
Che ¿You're Ny Best Friend la pusiste por el trailer de Good Omens?|🙏
Pero son chimbas las películas jajaj|😂
Mí profe de lengua es fan tuyo 😂|😂
Las mejores partes fueron las de Will Smith cantando la Bamba xDDDD|🙏
Will Smith el negro que se convirtió en hombre de negro 😂|😂
"Lo primero q pensé cuando ví al Tommy renunciando fue: puchi el perro rockero diciendo ""debo irme, mi planeta me necesita"" Jajaja"|😂
Un te lo resumo así nomas de Better Call Saul, ¡Por favor!|🙏
La mejor fue la primera, las otras fueron una porquería, ojala no saquen nada mas, también estaba buena la serie que pasaban por Cartoon Network|😡
Che chavon cuando te venis para NQN que no es secreto que vivis en ARGPD: Te queremos boludo|🙏
RESUMI RIVERDALE LAS DOS TEMPORADAS gracias|🙏
jajajaja vi a un argentino famoso pero no recuerdo su nombre 2:12|😂
Tres personajes de Marvel/netflix en la saga de hombres de negro Vincent D'Onofrio o kingpin en la uno, Clare temple en la dos y Luke cage en la tres 🤔|😱
como siempre muy buena reseña, pero que porquerias de pelis y pensar que cuando un pibe me gustaban|😡
ajaja chingawats es como chingados y wath pero como en version pendejese :V|😂
Resumi duro de matar!!!|🙏
Está pelicula mugusta 2 y 3 #sospro|👍
"Like si quieres que Resuma la Saga de ""Matrix"""|🙏
"En realidad los astronautas dentro de la nave si ven cuando coloca el cosito ese que tenia que ir al espacio... Solo que se hacen los tontos con el típico: ""Yo no vi nada"" porque sino atrasaban el despegue xD"|😂
Che Jorge, el padre de J es Luke cage?Y también está la única enfermera honesta de Hell's Kitchen? con MIB empezó el universo cinematográfico de marvel?Oh|😱
"""Que chingawhat!"" JAJA"|😂
